Name,Symbol,Price,Img,1hr%,24hr%,7d%,MarketCap,Volume(24h),Vol(24h),CirculatingSupply,Last7Days
KARRAT,KARRAT,$0.04826,https://s2.coinmarketcap.com/static/img/coins/64x64/30825.png,0.15%,0.59%,5.46%,$16.45M,"$641,586",13.29M KARRAT,340.76M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/30825.svg
Games for a Living,GFAL,$0.004429,https://s2.coinmarketcap.com/static/img/coins/64x64/23397.png,0.06%,0.08%,10.30%,$16.44M,"$106,272",23.98M GFAL,3.71B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/23397.svg
Namecoin,NMC,$1.11,https://s2.coinmarketcap.com/static/img/coins/64x64/3.png,0.11%,22.34%,0.05%,$16.36M,"$4,439",3.99K NMC,14.73M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3.svg
TokenFi,TOKEN,$0.01621,https://s2.coinmarketcap.com/static/img/coins/64x64/28299.png,0.05%,0.55%,7.24%,$16.22M,"$4,187,410",258.19M TOKEN,1B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/28299.svg
Perpetual Protocol,PERP,$0.2456,https://s2.coinmarketcap.com/static/img/coins/64x64/6950.png,0.15%,3.02%,2.74%,$16.21M,"$4,243,414",17.27M PERP,66M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6950.svg
LumiWave,LWA,$0.02106,https://s2.coinmarketcap.com/static/img/coins/64x64/6739.png,0.22%,6.78%,5.00%,$16.22M,"$3,779,211",179.42M LWA,770.07M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6739.svg
Balance,EPT,$0.006635,https://s2.coinmarketcap.com/static/img/coins/64x64/35671.png,0.64%,6.91%,18.75%,$16.21M,"$15,086,629",2.27B EPT,2.44B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35671.svg
Contentos,COS,$0.003086,https://s2.coinmarketcap.com/static/img/coins/64x64/4036.png,0.13%,1.11%,1.30%,$15.98M,"$897,603",290.78M COS,5.17B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4036.svg
moonpig,MOONPIG,$0.01595,https://s2.coinmarketcap.com/static/img/coins/64x64/36415.png,3.49%,4.62%,61.00%,$15.95M,"$22,980,905",1.44B MOONPIG,999.93M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36415.svg
Reddio,RDO,$0.008351,https://s2.coinmarketcap.com/static/img/coins/64x64/36634.png,2.04%,6.61%,3.50%,$15.87M,"$18,195,249",2.17B RDO,1.9B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36634.svg
